,ISBN,bookAuthor,author_gender,birthplace
0,60973129,Carlo D'Este,male, United States  
1,60164557,Carlo D'Este,male, United States  
2,805056866,Carlo D'Este,male, United States  
3,399135782,Amy Tan,female, United States  
8,804106304,Amy Tan,female, United States  
13,080410753X,Amy Tan,female, United States  
18,679748083,Amy Tan,female, United States  
23,399146431,Amy Tan,female, United States  
28,399141146,Amy Tan,female, United States  
33,8807816318,Amy Tan,female, United States  
38,804114986,Amy Tan,female, United States  
43,080411109X,Amy Tan,female, United States  
48,8472238806,Amy Tan,female, United States  
53,067972768X,Amy Tan,female, United States  
58,399146857,Amy Tan,female, United States  
63,399150749,Amy Tan,female, United States  
68,3442096480,Amy Tan,female, United States  
73,1931056323,Amy Tan,female, United States  
78,080410753x,Amy Tan,female, United States  
83,822007126,Amy Tan,female, United States  
88,749336021,Amy Tan,female, United States  
93,8484509923,Amy Tan,female, United States  
98,399134204,Amy Tan,female, United States  
103,749399570,Amy Tan,female, United States  
108,375701524,Amy Tan,female, United States  
113,788192043,Amy Tan,female, United States  
118,3442442567,Amy Tan,female, United States  
123,8472234002,Amy Tan,female, United States  
128,345457374,Amy Tan,female, United States  
133,3442421829,Amy Tan,female, United States  
138,080411109x,Amy Tan,female, United States  
143,399141154,Amy Tan,female, United States  
148,1590400356,Amy Tan,female, United States  
153,1931056331,Amy Tan,female, United States  
158,1560542578,Amy Tan,female, United States  
163,8484507769,Amy Tan,female, United States  
168,8472231631,Amy Tan,female, United States  
173,27888304,Amy Tan,female, United States  
178,395926831,Amy Tan,female, United States  
183,8472239438,Amy Tan,female, United States  
193,078710566X,Amy Tan,female, United States  
198,1560549483,Amy Tan,female, United States  
203,B0001FZGPI,Amy Tan,female, United States  
208,1590400364,Amy Tan,female, United States  
213,689806167,Amy Tan,female, United States  
218,399138560,Amy Tan,female, United States  
223,8472234479,Amy Tan,female, United States  
228,1558002669,Amy Tan,female, United States  
233,27888355,Amy Tan,female, United States  
238,425176428,Robert Cowley,male,   United States  
239,042518613X,Robert Cowley,male,   United States  
240,330487248,Robert Cowley,male,   United States  
241,399147950,Robert Cowley,male,   United States  
242,399145761,Robert Cowley,male,   United States  
243,671870432,Scott Turow,male, United States  
247,374281602,Scott Turow,male, United States  
251,446359866,Scott Turow,male, United States  
255,446365505,Scott Turow,male, United States  
259,374281947,Scott Turow,male, United States  
263,446612626,Scott Turow,male, United States  
267,762102543,Scott Turow,male, United States  
271,446360589,Scott Turow,male, United States  
275,446351709,Scott Turow,male, United States  
279,446350982,Scott Turow,male, United States  
283,374184232,Scott Turow,male, United States  
287,374117349,Scott Turow,male, United States  
291,446608602,Scott Turow,male, United States  
295,446604402,Scott Turow,male, United States  
299,374234574,Scott Turow,male, United States  
303,140049134,Scott Turow,male, United States  
307,446673781,Scott Turow,male, United States  
311,446676446,Scott Turow,male, United States  
315,671574329,Scott Turow,male, United States  
319,671707434,Scott Turow,male, United States  
323,374237131,Scott Turow,male, United States  
327,2277235059,Scott Turow,male, United States  
331,671519166,Scott Turow,male, United States  
335,736688390,Scott Turow,male, United States  
339,3442440874,Scott Turow,male, United States  
347,8484508277,Scott Turow,male, United States  
351,446677124,Scott Turow,male, United States  
355,747516545,Scott Turow,male, United States  
359,078624268X,Scott Turow,male, United States  
363,9500410540,Scott Turow,male, United States  
367,3442452597,Scott Turow,male, United States  
371,330411543,Scott Turow,male, United States  
375,671652184,Scott Turow,male, United States  
379,816157464,Scott Turow,male, United States  
383,783819455,Scott Turow,male, United States  
387,375408258,Scott Turow,male, United States  
391,679425608,David Cordingly,male,   United Kingdom  
393,156005492,David Cordingly,male,   United Kingdom  
395,375500413,David Cordingly,male,   United Kingdom  
397,074322678X,Ann Beattie,male, United States    
398,679731946,Ann Beattie,male, United States    
399,067162220X,Ann Beattie,male, United States    
400,394744187,Ann Beattie,male, United States    
401,394569873,Ann Beattie,male, United States    
402,20165609,Ann Beattie,male, United States    
403,445045345,Ann Beattie,male, United States    
404,445046503,Ann Beattie,male, United States    
405,394539656,Ann Beattie,male, United States    
406,743235010,Ann Beattie,male, United States    
407,067940077X,Ann Beattie,male, United States    
408,679400788,Ann Beattie,male, United States    
409,679734643,Ann Beattie,male, United States    
410,679732349,Ann Beattie,male, United States    
411,067973192X,Ann Beattie,male, United States    
412,684815109,Ann Beattie,male, United States    
413,743211693,Ann Beattie,male, United States    
414,1585471992,Ann Beattie,male, United States    
415,044631112X,Ann Beattie,male, United States    
416,933277148,Ann Beattie,male, United States    
417,440234743,John Grisham,male, United States  
423,385508042,John Grisham,male, United States  
429,385511612,John Grisham,male, United States  
435,044023722X,John Grisham,male, United States  
441,385416342,John Grisham,male, United States  
447,038542471X,John Grisham,male, United States  
453,044021145X,John Grisham,male, United States  
459,385490992,John Grisham,male, United States  
465,385424728,John Grisham,male, United States  
471,385472951,John Grisham,male, United States  
477,385493800,John Grisham,male, United States  
483,385510438,John Grisham,male, United States  
489,440224764,John Grisham,male, United States  
495,440236673,John Grisham,male, United States  
501,99244926,John Grisham,male, United States  
507,440214041,John Grisham,male, United States  
513,385424736,John Grisham,male, United States  
519,3453169247,John Grisham,male, United States  
525,440213525,John Grisham,male, United States  
531,3453061187,John Grisham,male, United States  
537,99245027,John Grisham,male, United States  
543,8440691491,John Grisham,male, United States  
549,345386980X,John Grisham,male, United States  
555,99993805,John Grisham,male, United States  
561,440220602,John Grisham,male, United States  
567,440241073,John Grisham,male, United States  
573,3453127013,John Grisham,male, United States  
579,385503822,John Grisham,male, United States  
585,3453136411,John Grisham,male, United States  
591,440295556,John Grisham,male, United States  
597,345307565X,John Grisham,male, United States  
603,440295521,John Grisham,male, United States  
609,8440664346,John Grisham,male, United States  
615,3453071174,John Grisham,male, United States  
621,3455024947,John Grisham,male, United States  
627,846630259X,John Grisham,male, United States  
633,8466301569,John Grisham,male, United States  
639,1844131599,John Grisham,male, United States  
645,3453190025,John Grisham,male, United States  
651,8466304282,John Grisham,male, United States  
657,3453216253,John Grisham,male, United States  
663,553472348,John Grisham,male, United States  
669,345502498X,John Grisham,male, United States  
675,8466611622,John Grisham,male, United States  
681,553452991,John Grisham,male, United States  
687,553712837,John Grisham,male, United States  
693,440295424,John Grisham,male, United States  
699,99271273,John Grisham,male, United States  
705,553526847,John Grisham,male, United States  
711,922066728,John Grisham,male, United States  
717,3453108574,John Grisham,male, United States  
723,3455024998,John Grisham,male, United States  
729,375727965,John Grisham,male, United States  
735,3453210697,John Grisham,male, United States  
741,8804505516,John Grisham,male, United States  
747,3455024971,John Grisham,male, United States  
753,3455024920,John Grisham,male, United States  
759,3455024963,John Grisham,male, United States  
765,345308909X,John Grisham,male, United States  
771,3453868560,John Grisham,male, United States  
777,3453173090,John Grisham,male, United States  
783,739302248,John Grisham,male, United States  
789,440910927,John Grisham,male, United States  
795,8466300171,John Grisham,male, United States  
801,8440694369,John Grisham,male, United States  
807,3453185935,John Grisham,male, United States  
813,375431977,John Grisham,male, United States  
819,8804484012,John Grisham,male, United States  
825,8804498528,John Grisham,male, United States  
831,8466305920,John Grisham,male, United States  
837,038542471x,John Grisham,male, United States  
843,3453864786,John Grisham,male, United States  
849,2266110594,John Grisham,male, United States  
855,385480164,John Grisham,male, United States  
861,8466609016,John Grisham,male, United States  
867,8466602690,John Grisham,male, United States  
873,8440681798,John Grisham,male, United States  
879,844067581X,John Grisham,male, United States  
885,3453127323,John Grisham,male, United States  
891,2266115499,John Grisham,male, United States  
897,3455025013,John Grisham,male, United States  
903,99283417,John Grisham,male, United States  
909,553472828,John Grisham,male, United States  
915,2266078615,John Grisham,male, United States  
921,712678212,John Grisham,male, United States  
927,044021145x,John Grisham,male, United States  
933,8408012428,John Grisham,male, United States  
939,440295262,John Grisham,male, United States  
945,440295734,John Grisham,male, United States  
951,440295335,John Grisham,male, United States  
957,3453136551,John Grisham,male, United States  
963,8466309977,John Grisham,male, United States  
969,712675027,John Grisham,male, United States  
975,712654593,John Grisham,male, United States  
981,3453115481,John Grisham,male, United States  
987,440910846,John Grisham,male, United States  
993,743527364,John Grisham,male, United States  
999,553471392,John Grisham,male, United States  
1005,2266110098,John Grisham,male, United States  
1011,385470789,John Grisham,male, United States  
1017,3453151658,John Grisham,male, United States  
1023,2266078593,John Grisham,male, United States  
1029,385485921,John Grisham,male, United States  
1035,385468652,John Grisham,male, United States  
1041,712654542,John Grisham,male, United States  
1047,553502417,John Grisham,male, United States  
1053,553502271,John Grisham,male, United States  
1059,2266064886,John Grisham,male, United States  
1065,553479180,John Grisham,male, United States  
1071,553502042,John Grisham,male, United States  
1077,044023722x,John Grisham,male, United States  
1083,8408020943,John Grisham,male, United States  
1089,8408020935,John Grisham,male, United States  
1095,553455710,John Grisham,male, United States  
1101,553712527,John Grisham,male, United States  
1107,3455024939,John Grisham,male, United States  
1113,440295181,John Grisham,male, United States  
1119,553470469,John Grisham,male, United States  
1125,553472836,John Grisham,male, United States  
1131,8466312099,John Grisham,male, United States  
1137,8495501066,John Grisham,male, United States  
1143,8408011340,John Grisham,male, United States  
1149,8466609563,John Grisham,male, United States  
1155,8408021419,John Grisham,male, United States  
1161,840801997X,John Grisham,male, United States  
1167,440295211,John Grisham,male, United States  
1173,743527372,John Grisham,male, United States  
1179,2266078585,John Grisham,male, United States  
1185,2266107275,John Grisham,male, United States  
1191,2266125672,John Grisham,male, United States  
1197,555600000X,John Grisham,male, United States  
1203,739420712,John Grisham,male, United States  
1209,452264464,Toni Morrison,female, United States    
1214,452264790,Toni Morrison,female, United States    
1219,452260116,Toni Morrison,female, United States    
1224,452283868,Toni Morrison,female, United States    
1229,452280621,Toni Morrison,female, United States    
1234,679433740,Toni Morrison,female, United States    
1239,140283404,Toni Morrison,female, United States    
1244,375411550,Toni Morrison,female, United States    
1249,452280397,Toni Morrison,female, United States    
1254,452282195,Toni Morrison,female, United States    
1259,679745424,Toni Morrison,female, United States    
1264,3499228548,Toni Morrison,female, United States    
1269,451158288,Toni Morrison,female, United States    
1274,451161394,Toni Morrison,female, United States    
1279,8440656955,Toni Morrison,female, United States    
1284,8440682719,Toni Morrison,female, United States    
1289,452261368,Toni Morrison,female, United States    
1294,99760118,Toni Morrison,female, United States    
1299,452269652,Toni Morrison,female, United States    
1304,30850746,Toni Morrison,female, United States    
1309,1580601200,Toni Morrison,female, United States    
1314,451122240,Toni Morrison,female, United States    
1319,451177800,Toni Morrison,female, United States    
1324,3499130653,Toni Morrison,female, United States    
1329,671742922,Toni Morrison,female, United States    
1334,8440656963,Toni Morrison,female, United States    
1339,3499135566,Toni Morrison,female, United States    
1344,8440689322,Toni Morrison,female, United States    
1349,140003342X,Toni Morrison,female, United States    
1354,375702172,Toni Morrison,female, United States    
1359,451166396,Toni Morrison,female, United States    
1364,451152611,Toni Morrison,female, United States    
1369,3499154706,Toni Morrison,female, United States    
1374,330305026,Toni Morrison,female, United States    
1379,674673778,Toni Morrison,female, United States    
1384,452156408,Toni Morrison,female, United States    
1389,2264020741,Toni Morrison,female, United States    
1394,375405623,Toni Morrison,female, United States    
1399,451152603,Toni Morrison,female, United States    
1404,375401792,Toni Morrison,female, United States    
1409,451156595,Toni Morrison,female, United States    
1414,452253268,Toni Morrison,female, United States    
1419,3499229153,Toni Morrison,female, United States    
1424,8440635893,Toni Morrison,female, United States    
1429,452260124,Toni Morrison,female, United States    
1434,896211231,Toni Morrison,female, United States    
1439,345402871,Michael Crichton,male, United States    
1443,345378490,Michael Crichton,male, United States    
1447,345370775,Michael Crichton,male, United States    
1451,034540288X,Michael Crichton,male, United States    
1455,61015725,Michael Crichton,male, United States    
1459,679446486,Michael Crichton,male, United States    
1463,345391055,Michael Crichton,male, United States    
1467,66214122,Michael Crichton,male, United States    
1471,451183665,Michael Crichton,male, United States    
1475,3426600218,Michael Crichton,male, United States    
1479,679444815,Michael Crichton,male, United States    
1483,394589424,Michael Crichton,male, United States    
1487,345354621,Michael Crichton,male, United States    
1491,345359321,Michael Crichton,male, United States    
1495,679419454,Michael Crichton,male, United States    
1499,613072103,Michael Crichton,male, United States    
1503,067945540X,Michael Crichton,male, United States    
1507,451210638,Michael Crichton,male, United States    
1511,034539092X,Michael Crichton,male, United States    
1515,553024248,Michael Crichton,male, United States    
1519,60502304,Michael Crichton,male, United States    
