,ISBN,bookTitle,book_average_rating
0,60973129,Decision in Normandy,4.23
1,60164557,Patton: A Genius for War,4.23
2,805056866,Eisenhower: A Soldier's Life,4.23
3,399135782,The Kitchen God's Wife,3.91
8,804106304,The Joy Luck Club,3.91
13,080410753X,The Kitchen God's Wife,3.91
18,679748083,The Kitchen God's Wife (Vintage Contemporaries),3.91
23,399146431,The Bonesetter's Daughter,3.91
28,399141146,The Hundred Secret Senses,3.91
33,8807816318,Il Circolo Della Fortuna E Della Felicita,3.91
38,804114986,The Bonesetter's Daughter,3.91
43,080411109X,The Hundred Secret Senses,3.91
48,8472238806,El Club De LA Buena Estrella,3.91
53,067972768X,The Joy Luck Club (Vintage Contemporaries),3.91
58,399146857,Bonesetter's Daughter,3.91
63,399150749,The Opposite of Fate: A Book of Musings,3.91
68,3442096480,TÃ?Â¶chter des Himmels. Roman.,3.91
73,1931056323,The Bonesetter's Daughter,3.91
78,080410753x,The Kitchen God's Wife,3.91
83,822007126,Kitchen Gods Wife (Cliffs Notes),3.91
88,749336021,The Joy Luck Club,3.91
93,8484509923,LA Hija Del Curandero,3.91
98,399134204,Joy Luck Club,3.91
103,749399570,The Joy Luck Club,3.91
108,375701524,The Hundred Secret Senses,3.91
113,788192043,The Hundred Secret Senses,3.91
118,3442442567,Die hundert verborgenen Sinne.,3.91
123,8472234002,La Esposa Del Dios Del Fuego,3.91
128,345457374,The Bonesetter's Daughter (Ballantine Reader's Circle),3.91
133,3442421829,Die Frau des Feuergottes. Roman.,3.91
138,080411109x,The Hundred Secret Senses,3.91
143,399141154,Hundred Secret Senses Limited Ed.,3.91
148,1590400356,The Kitchen God's Wife,3.91
153,1931056331,The Bonesetter's Daughter,3.91
158,1560542578,The Kitchen God's Wife (Thorndike Large Print Basic Series),3.91
163,8484507769,El Club de La Buena Estrella,3.91
168,8472231631,El Club De La Buena Estrella,3.91
173,27888304,The Moon Lady,3.91
178,395926831,The Best American Short Stories 1999,3.91
183,8472239438,Los Cien Sentidos Secretos,3.91
193,078710566X,The Hundred Secret Senses,3.91
198,1560549483,Kitchen God's Wife (Thorndike Paperback Bestsellers),3.91
203,B0001FZGPI,The Bonesetter's Daughter,3.91
208,1590400364,The Hundred Secret Senses,3.91
213,689806167,The Moon Lady (Aladdin Picture Books),3.91
218,399138560,Op Kitchen God's Wife,3.91
223,8472234479,LA Esposa Del Dios Del Fuego,3.91
228,1558002669,The Kitchen God's Wife,3.91
233,27888355,The Chinese Siamese Cat,3.91
238,425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,3.67
239,042518613X,What If? 2: Eminent Historians Imagine What Might Have Been,3.67
240,330487248,What If?: Military Historians Imagine What Might Have Been,3.67
241,399147950,What If? 2: Eminent Historians Imagine What Might Have Been,3.67
242,399145761,What If?: The World's Foremost Military Historians Imagine What Might Have Been,3.67
243,671870432,PLEADING GUILTY,4.1
247,374281602,Reversible Errors: A Novel,4.1
251,446359866,Presumed Innocent,4.1
255,446365505,Pleading Guilty,4.1
259,374281947,Personal Injuries,4.1
263,446612626,Reversible Errors,4.1
267,762102543,Presumed Innocent,4.1
271,446360589,The Burden of Proof,4.1
275,446351709,One L : The Turbulent True Story of a First Year at Harvard Law School,4.1
279,446350982,Presumed Innocent,4.1
283,374184232,The Laws of Our Fathers,4.1
287,374117349,Burden of Proof,4.1
291,446608602,Personal Injuries,4.1
295,446604402,The Laws of Our Fathers,4.1
299,374234574,Pleading Guilty,4.1
303,140049134,One L,4.1
307,446673781,One L : The Turbulent True Story of a First Year at Harvard Law School,4.1
311,446676446,Presumed Innocent,4.1
315,671574329,The LAWS OF OUR FATHERS CASSETTE,4.1
319,671707434,The BURDEN OF PROOF,4.1
323,374237131,Presumed Innocent,4.1
327,2277235059,Le poids de la preuve,4.1
331,671519166,GUILTY AS CHARGED,4.1
335,736688390,Reversible Errors,4.1
339,3442440874,Das Gesetz der VÃ?Â¤ter.,4.1
347,8484508277,Demanda Infalible,4.1
351,446677124,The Burden of Proof,4.1
355,747516545,"Scott Turow Omnibus: \Presumed Innocent\"" and \""The Burden of Proof\"".""",4.1
359,078624268X,Reversible Errors (Thorndike Basic),4.1
363,9500410540,El Peso de la Prueba,4.1
367,3442452597,Die Gierigen und die Gerechten.,4.1
371,330411543,Reversible Errors,4.1
375,671652184,PRESUMED INNOCENT,4.1
379,816157464,Pleading Guilty (G K Hall Large Print Book Series),4.1
383,783819455,The Laws of Our Fathers (G K Hall Large Print Book Series (Cloth)),4.1
387,375408258,Personal Injuries,4.1
391,679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,3.68
393,156005492,Under the Black Flag: The Romance and the Reality of Life among the Pirates,3.68
395,375500413,Women Sailors and Sailors' Women: An Untold Maritime History,3.68
397,074322678X,Where You'll Find Me: And Other Stories,3.82
398,679731946,Picturing Will (Vintage Contemporaries),3.82
399,067162220X,Where You'll Find Me and Other Stories,3.82
400,394744187,Love Always: A Novel (Vintage Contemporaries),3.82
401,394569873,Picturing Will,3.82
402,20165609,Where You'll Find Me and Other Stories,3.82
403,445045345,Secrets and Surprises,3.82
404,445046503,Falling In Place,3.82
405,394539656,Love Always,3.82
406,743235010,The Doctor's House: A Novel,3.82
407,067940077X,What Was Mine: Stories,3.82
408,679400788,Another You,3.82
409,679734643,Another You,3.82
410,679732349,Chilly Scenes of Winter (Vintage Contemporaries),3.82
411,067973192X,Falling in Place (Vintage Contemporaries),3.82
412,684815109,Where You'll Find Me: And Other Stories,3.82
413,743211693,Perfect Recall: New Stories,3.82
414,1585471992,The Doctor's House (Premier Plus Series),3.82
415,044631112X,Falling in Place,3.82
416,933277148,Ploughshares Fall 1995: Living Rooms,3.82
417,440234743,The Testament,3.98
423,385508042,The King of Torts,3.98
429,385511612,Bleachers,3.98
435,044023722X,A Painted House,3.98
441,385416342,The Firm,3.98
447,038542471X,The Client,3.98
453,044021145X,The Firm,3.98
459,385490992,The Street Lawyer,3.98
465,385424728,The Chamber,3.98
471,385472951,The Partner,3.98
477,385493800,The Testament,3.98
483,385510438,The Last Juror,3.98
489,440224764,The Partner,3.98
495,440236673,The Brethren,3.98
501,99244926,The Street Lawyer,3.98
507,440214041,The Pelican Brief,3.98
513,385424736,The Rainmaker,3.98
519,3453169247,Der Verrat.,3.98
525,440213525,The Client,3.98
531,3453061187,Die Jury. Roman.,3.98
537,99245027,The Testament,3.98
543,8440691491,El Testamento,3.98
549,345386980X,Der Richter.,3.98
555,99993805,Pelican Brief,3.98
561,440220602,The Chamber,3.98
567,440241073,The Summons,3.98
573,3453127013,Der Regenmacher.,3.98
579,385503822,The Summons,3.98
585,3453136411,Das Urteil.,3.98
591,440295556,The Partner,3.98
597,345307565X,Die Akte. Roman.,3.98
603,440295521,The Runaway Jury,3.98
609,8440664346,El Jurado,3.98
615,3453071174,Die Firma. Roman.,3.98
621,3455024947,Die Kammer.,3.98
627,846630259X,La hermandad,3.98
633,8466301569,El Testamento (Punto de Lectura),3.98
