,ISBN,bookTitle,yearOfPublication,publisher
0,60973129,Decision in Normandy,1991,HarperPerennial
1,60164557,Patton: A Genius for War,1995,Harpercollins
2,805056866,Eisenhower: A Soldier's Life,2002,Henry Holt  Company
3,399135782,The Kitchen God's Wife,1991,Putnam Pub Group
8,804106304,The Joy Luck Club,1994,Prentice Hall (K-12)
13,080410753X,The Kitchen God's Wife,1992,Ivy Books
18,679748083,The Kitchen God's Wife (Vintage Contemporaries),1993,Vintage Books USA
23,399146431,The Bonesetter's Daughter,2001,Putnam Publishing Group
28,399141146,The Hundred Secret Senses,1995,Putnam Pub Group
33,8807816318,Il Circolo Della Fortuna E Della Felicita,2002,Distribooks Inc
38,804114986,The Bonesetter's Daughter,2002,Ballantine Books
43,080411109X,The Hundred Secret Senses,1996,Ivy Books
48,8472238806,El Club De LA Buena Estrella,1995,Tusquets
53,067972768X,The Joy Luck Club (Vintage Contemporaries),1991,Vintage Books USA
58,399146857,Bonesetter's Daughter,2001,Putnam Publishing Group
63,399150749,The Opposite of Fate: A Book of Musings,2003,G. P. Putnam's Sons
68,3442096480,TÃ?Â¶chter des Himmels. Roman.,1992,Goldmann
73,1931056323,The Bonesetter's Daughter,2001,New Millennium Audio
78,080410753x,The Kitchen God's Wife,1992,Ivy Books
83,822007126,Kitchen Gods Wife (Cliffs Notes),1996,Cliffs Notes
88,749336021,The Joy Luck Club,1994,Minerva
93,8484509923,LA Hija Del Curandero,2002,Distribooks
98,399134204,Joy Luck Club,1989,Putnam Publishing Group
103,749399570,The Joy Luck Club,1991,Vintage
108,375701524,The Hundred Secret Senses,1998,Vintage Books USA
113,788192043,The Hundred Secret Senses,2000,DIANE Publishing Company
118,3442442567,Die hundert verborgenen Sinne.,1998,Goldmann
123,8472234002,La Esposa Del Dios Del Fuego,2002,Tusquets
128,345457374,The Bonesetter's Daughter (Ballantine Reader's Circle),2003,Ballantine Books
133,3442421829,Die Frau des Feuergottes. Roman.,1993,Goldmann
138,080411109x,The Hundred Secret Senses,1996,Ivy Books
143,399141154,Hundred Secret Senses Limited Ed.,1995,Berkley Publishing Group
148,1590400356,The Kitchen God's Wife,2002,Phoenix Audio
153,1931056331,The Bonesetter's Daughter,2001,New Millennium Audio
158,1560542578,The Kitchen God's Wife (Thorndike Large Print Basic Series),1992,Thorndike Press
163,8484507769,El Club de La Buena Estrella,2001,Debols!llo
168,8472231631,El Club De La Buena Estrella,2002,Tusquets
173,27888304,The Moon Lady,1992,Simon  Schuster Children's Publishing
178,395926831,The Best American Short Stories 1999,1999,Houghton Mifflin Co
183,8472239438,Los Cien Sentidos Secretos,2002,Tusquets
193,078710566X,The Hundred Secret Senses,1995,Audio Literature
198,1560549483,Kitchen God's Wife (Thorndike Paperback Bestsellers),1992,Thorndike Press
203,B0001FZGPI,The Bonesetter's Daughter,2001,Putnam Pub Group
208,1590400364,The Hundred Secret Senses,2001,Phoenix Audio
213,689806167,The Moon Lady (Aladdin Picture Books),1995,Aladdin
218,399138560,Op Kitchen God's Wife,0,Putnam Publishing Group
223,8472234479,LA Esposa Del Dios Del Fuego,2001,Tusquets
228,1558002669,The Kitchen God's Wife,1991.0,Audio Literature
233,27888355,The Chinese Siamese Cat,1994.0,Simon  Schuster Children's Publishing
238,425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,2000,Berkley Publishing Group
239,042518613X,What If? 2: Eminent Historians Imagine What Might Have Been,2002,Berkley Publishing Group
240,330487248,What If?: Military Historians Imagine What Might Have Been,2001,Pan Macmillan
